"Name","IndexHi","IndexLo","Available","DefaultOwned","SfxFile","ScFile","AvailableForOffer","Exclusive","DateAvailable","HumanReadableName","Family"
"Emote11",3,3,"True","False","sfx/emotes/emotes_goblin_02_04_dl.ogg","sc/emotes_goblin_02_dl.sc","True","False","2018-07-01","Peace Out Goblin","Goblin"
"Emote12",4,0,"True","False","sfx/emotes/emotes_goblin_03_01_dl.ogg","sc/emotes_goblin_03_dl.sc","True","False","2018-07-01","Smiling Goblin","Goblin"
"Emote13",4,1,"True","False","sfx/emotes/emotes_goblin_03_02_dl.ogg","sc/emotes_goblin_03_dl.sc","True","False","2018-07-01","Say Whaaaat? Goblin","Goblin"
"Emote14",4,2,"True","False","sfx/emotes/emotes_goblin_03_03_dl.ogg","sc/emotes_goblin_03_dl.sc","True","False","2018-07-01","Risky Business Goblin","Goblin"
"Emote15",4,3,"True","False","sfx/emotes/emotes_goblin_03_04_dl.ogg","sc/emotes_goblin_03_dl.sc","True","False","2018-07-01","White Flag Goblin","Goblin"
"Emote16",5,0,"True","False","sfx/emotes/emotes_goblin_04_01_dl.ogg","sc/emotes_goblin_04_dl.sc","True","False","2018-07-01","Tongue Goblin","Goblin"
"Emote17",5,1,"True","False","sfx/emotes/emotes_goblin_04_02_dl.ogg","sc/emotes_goblin_04_dl.sc","True","False","2018-07-01","Knife Goblin","Goblin"
"Emote18",5,2,"True","False","sfx/emotes/emotes_goblin_04_03_dl.ogg","sc/emotes_goblin_04_dl.sc","True","False","2018-07-01","Embarrassed Goblin","Goblin"
"Emote19",5,3,"True","False","sfx/emotes/emotes_goblin_04_04_dl.ogg","sc/emotes_goblin_04_dl.sc","True","False","2018-07-01","Anime Eyes Gobin","Goblin"
"Emote20",6,0,"True","False","sfx/emotes/emotes_princess_01_01_dl.ogg","sc/emotes_princess_01_dl.sc","True","False","2018-07-01","Thumbs Up Princess","Princess"
"Emote21",6,1,"True","False","sfx/emotes/emotes_princess_01_02_dl.ogg","sc/emotes_princess_01_dl.sc","True","False","2018-07-01","Singing Princess","Princess"
"Emote22",6,2,"True","False","sfx/emotes/emotes_princess_01_03_dl.ogg","sc/emotes_princess_01_dl.sc","True","False","2018-07-01","Kissy Princess","Princess"
"Emote23",6,3,"True","False","sfx/emotes/emotes_princess_01_04_dl.ogg","sc/emotes_princess_01_dl.sc","True","False","2018-07-01","Angry Princess","Princess"
"Emote24",7,0,"True","False","sfx/emotes/giant_emote_01_dl.ogg","sc/emotes_giant_01_dl.sc","True","False","2018-07-01","Eating Giant","Giant"
"Emote25",7,1,"True","False","sfx/emotes/giant_emote_02_dl.ogg","sc/emotes_giant_01_dl.sc","True","False","2018-07-01","Thumbs Up Giant","Giant"
"Emote26",7,2,"True","False","sfx/emotes/giant_emote_03_dl.ogg","sc/emotes_giant_01_dl.sc","True","False","2018-07-01","Angry Giant","Giant"
"Emote27",7,3,"True","False","sfx/emotes/giant_emote_05_dl.ogg","sc/emotes_giant_01_dl.sc","True","False","2018-07-01","Strong Giant","Giant"
"Emote28",8,0,"True","False","sfx/emotes/princess_emote_01_dl.ogg","sc/emotes_princess_02_dl.sc","True","False","2018-07-01","Peace Princess","Princess"
"Emote29",8,1,"True","False","sfx/emotes/princess_emote_02_dl.ogg","sc/emotes_princess_02_dl.sc","True","False","2018-07-01","Oops Princess","Princess"
"Emote30",8,2,"True","False","sfx/emotes/princess_emote_03_dl.ogg","sc/emotes_princess_02_dl.sc","True","False","2018-07-01","Board Princess","Princess"
"Emote31",8,3,"True","False","sfx/emotes/princess_emote_04_dl.ogg","sc/emotes_princess_02_dl.sc","True","False","2018-07-01","Princess Arrows","Princess"
"Emote32",9,0,"True","False","sfx/emotes/hr_emote_01_dl.ogg","sc/emotes_hogrider_01_dl.sc","True","False","2018-08-01","Screaming Hog Rider","HogRider"
"Emote33",9,1,"True","False","sfx/emotes/hr_emote_02_dl.ogg","sc/emotes_hogrider_01_dl.sc","True","False","2018-08-01","Questioning Hog Rider","HogRider"
"Emote34",9,2,"True","False","sfx/emotes/hr_emote_03_dl.ogg","sc/emotes_hogrider_01_dl.sc","True","False","2018-08-01","Kissy Hog Rider","HogRider"
"Emote35",9,3,"True","False","sfx/emotes/hr_emote_04_dl.ogg","sc/emotes_hogrider_01_dl.sc","True","False","2018-08-01","Hammer Hog Rider","HogRider"
"Emote36",10,0,"True","False","sfx/emotes/emotes_hog_01_01_dl.ogg","sc/emotes_hog_01_dl.sc","True","False","2018-08-01","Smiling Hog","Hog"
"Emote37",10,1,"True","False","sfx/emotes/emotes_hog_01_02_dl.ogg","sc/emotes_hog_01_dl.sc","True","False","2018-08-01","Screaming Hog","Hog"
"Emote38",10,2,"True","False","sfx/emotes/emotes_hog_01_03_dl.ogg","sc/emotes_hog_01_dl.sc","True","False","2018-08-01","Snoring Hog","Hog"
"Emote39",10,3,"True","False","sfx/emotes/emotes_hog_01_04_dl.ogg","sc/emotes_hog_01_dl.sc","True","False","2018-08-01","That's Right' Hog","Hog"
"Emote40",11,0,"True","False","sfx/emotes/emotes_barbarian_01_01_dl.ogg","sc/emotes_barbarian_01_dl.sc","True","False","2018-09-01","Screaming Barb","Barbarian"
"Emote41",11,1,"True","False","sfx/emotes/emotes_barbarian_01_02_dl.ogg","sc/emotes_barbarian_01_dl.sc","True","False","2018-09-01","Angry Barb","Barbarian"
"Emote42",11,2,"True","False","sfx/emotes/emotes_barbarian_01_03_dl.ogg","sc/emotes_barbarian_01_dl.sc","True","False","2018-09-01","Nose Picking Barb","Barbarian"
"Emote43",11,3,"True","False","sfx/emotes/emotes_barbarian_01_04_dl.ogg","sc/emotes_barbarian_01_dl.sc","True","False","2018-09-01","Barb Fist Pump","Barbarian"
"Emote44",12,0,"True","False","sfx/emotes/emotes_skeleton_01_01_dl.ogg","sc/emotes_skeleton_01_dl.sc","True","False","2018-09-01","Oh My' Skeleton","Skeleton"
"Emote45",12,1,"True","False","sfx/emotes/emotes_skeleton_01_02_dl.ogg","sc/emotes_skeleton_01_dl.sc","True","False","2018-09-01","Hearts Skeleton","Skeleton"
"Emote46",12,2,"True","False","sfx/emotes/emotes_skeleton_01_03_dl.ogg","sc/emotes_skeleton_01_dl.sc","True","False","2018-09-01","Idea Skeleton","Skeleton"
"Emote47",12,3,"True","False","sfx/emotes/emotes_skeleton_01_04_dl.ogg","sc/emotes_skeleton_01_dl.sc","True","False","2018-09-01","Crying Skeleton","Skeleton"
"Emote48",13,0,"True","False","sfx/emotes/emotes_wizard_01_01_dl.ogg","sc/emotes_wizard_01_dl.sc","True","False","2018-10-01","Charred Wizard","Wizard"
"Emote49",13,1,"True","False","sfx/emotes/emotes_wizard_01_02_dl.ogg","sc/emotes_wizard_01_dl.sc","True","False","2018-10-01","Fire Wizard","Wizard"
"Emote50",13,2,"True","False","sfx/emotes/emotes_wizard_01_03_dl.ogg","sc/emotes_wizard_01_dl.sc","True","False","2018-10-01","Who Knows?' Wizard","Wizard"
"Emote51",13,3,"True","False","sfx/emotes/emotes_wizard_01_04_dl.ogg","sc/emotes_wizard_01_dl.sc","True","False","2018-10-01","Dabbing Wizard","Wizard"
"Emote52",14,0,"True","False","sfx/emotes/emotes_ewiz_01_01_dl.ogg","sc/emotes_ewiz_01_dl.sc","True","False","2018-10-01","Smiling Ewiz","eWizard"
"Emote53",14,1,"True","False","sfx/emotes/emotes_ewiz_01_02_dl.ogg","sc/emotes_ewiz_01_dl.sc","True","False","2018-10-01","Idea Ewiz","eWizard"
"Emote54",14,2,"True","False","sfx/emotes/emotes_ewiz_01_03_dl.ogg","sc/emotes_ewiz_01_dl.sc","True","False","2018-10-01","Thumbs Up Ewiz","eWizard"
"Emote55",14,3,"True","False","sfx/emotes/emotes_ewiz_01_04_dl.ogg","sc/emotes_ewiz_01_dl.sc","True","False","2018-10-01","Shocked Ewiz","eWizard"
"Emote56",15,0,"True","False","sfx/emotes/emotes_crl_01_01_dl.ogg","sc/emotes_crl_01_dl.sc","True","False","2018-11-01","CRL #1","CRL"
"Emote57",15,1,"True","False","sfx/emotes/emotes_crl_01_02_dl.ogg","sc/emotes_crl_01_dl.sc","True","False","2018-11-01","Nervous Musketeer","Musketeer"
"Emote58",15,2,"True","False","sfx/emotes/emotes_crl_01_03_dl.ogg","sc/emotes_crl_01_dl.sc","False","False","2018-11-01","Happy Knight","Knight"
"Emote59",15,3,"True","False","sfx/emotes/emotes_crl_01_04_dl.ogg","sc/emotes_crl_01_dl.sc","True","False","2018-11-01","Screaming Bandit","Bandit"
"Emote60",16,0,"True","False","sfx/emotes/emotes_black_friday_01_01_dl.ogg","sc/emotes_black_friday_01_dl.sc","True","False","2018-11-01","Panting Baby Dragon","Dragon"
"Emote61",16,1,"True","False","sfx/emotes/emotes_black_friday_01_02_dl.ogg","sc/emotes_black_friday_01_dl.sc","True","False","2018-11-01","Exploding Bomber","Bomber"
"Emote62",16,2,"True","False","sfx/emotes/emotes_black_friday_01_03_dl.ogg","sc/emotes_black_friday_01_dl.sc","True","False","2018-11-01","Happy Minion","Minion"
"Emote63",16,3,"True","False","sfx/emotes/emotes_black_friday_01_04_dl.ogg","sc/emotes_black_friday_01_dl.sc","True","False","2018-11-01","Blinking Inferno","Inferno"
"Emote64",17,0,"True","False","sfx/emotes/emotes_black_friday_02_01_dl.ogg","sc/emotes_black_friday_02_dl.sc","True","False","2018-11-01","Pancakes Mini P.E.K.K.A","MiniPekka"
"Emote65",17,1,"True","False","sfx/emotes/emotes_black_friday_02_02_dl.ogg","sc/emotes_black_friday_02_dl.sc","True","False","2018-11-01","Charming Prince","Prince"
"Emote66",17,2,"True","False","sfx/emotes/emotes_black_friday_02_03_dl.ogg","sc/emotes_black_friday_02_dl.sc","True","False","2018-11-01","Really?' Dark Prince","DarkPrince"
"Emote67",17,3,"True","False","sfx/emotes/emotes_black_friday_02_04_dl.ogg","sc/emotes_black_friday_02_dl.sc","True","False","2018-11-01","Board Valkyrie","Valkyrie"
"Emote68",18,0,"True","False","sfx/emotes/emotes_royal_ghost_01_01_dl.ogg","sc/emotes_royal_ghost_01_dl.sc","False","True","2018-11-01","Royal Ghost","Royal Ghost"
"Emote69",18,1,"False","False","sfx/emotes/emotes_royal_ghost_01_02_dl.ogg","sc/emotes_royal_ghost_01_dl.sc","False","False","2100-01-01","Boo","Royal Ghost"
"Emote70",18,2,"True","False","sfx/emotes/emotes_royal_ghost_01_03_dl.ogg","sc/emotes_royal_ghost_01_dl.sc","False","True","2020-02-03","Cry","Royal Ghost"
"Emote71",18,3,"True","False","sfx/emotes/emotes_royal_ghost_01_04_dl.ogg","sc/emotes_royal_ghost_01_dl.sc","False","False","2019-04-01","Clap","Royal Ghost"
"Emote76",20,0,"True","False","sfx/emotes/emotes_crl_03_01_dl.ogg","sc/emotes_crl_03_dl.sc","False","True","2018-12-01","Goblin Trophy","Goblin"
"Emote77",21,0,"True","False","sfx/emotes/emotes_xmas_01_01_dl.ogg","sc/emotes_xmas_01_dl.sc","False","True","2018-12-01","Santa Ice Wizard","IceWizard"
"Emote78",21,1,"True","False","sfx/emotes/emotes_xmas_01_02_dl.ogg","sc/emotes_xmas_01_dl.sc","False","True","2018-12-01","Santa Ice Spirit","Spirit"
"Emote79",22,0,"True","False","sfx/emotes/ram_emote_01_dl.ogg","sc/emotes_ram_rider_01_dl.sc","False","True","2018-12-01","Angry Ram","Ram"
"Emote80",22,1,"True","False","sfx/emotes/ram_emote_02_dl.ogg","sc/emotes_ram_rider_01_dl.sc","True","False","2018-12-01","Ram Rider / Scream","RamRider"
"Emote81",23,0,"True","False","sfx/emotes/emotes_hog_02_01_dl.ogg","sc/emotes_hog_02_dl.sc","True","False","2019-02-04","Hog/LNY","Hog"
"Emote82",23,1,"True","False","sfx/emotes/emotes_hog_02_02_dl.ogg","sc/emotes_hog_02_dl.sc","True","False","2019-02-10","Hog/Noodles","Hog"
"Emote83",23,2,"True","False","sfx/emotes/emotes_hog_02_03_dl.ogg","sc/emotes_hog_02_dl.sc","False","True","2019-02-04","Hog/Coins","Hog"
"Emote84",23,3,"True","False","sfx/emotes/emotes_hog_02_04_dl.ogg","sc/emotes_hog_02_dl.sc","True","False","2019-02-05","Hog/Fireworks","Hog"
"Emote85",24,0,"True","False","sfx/emotes/emotes_minipekka_02_01_dl.ogg","sc/emotes_minipekka_02_dl.sc","True","False","2019-02-22","Pancake sword","MiniPekka"
"Emote86",24,1,"True","False","sfx/emotes/emotes_minipekka_02_02_dl.ogg","sc/emotes_minipekka_02_dl.sc","True","False","2019-02-22","Pancake face","MiniPekka"
"Emote87",24,2,"True","False","sfx/emotes/emotes_minipekka_02_03_dl.ogg","sc/emotes_minipekka_02_dl.sc","True","False","2019-02-22","The robot (dance)","MiniPekka"
"Emote88",24,3,"True","False","sfx/emotes/emotes_minipekka_02_04_dl.ogg","sc/emotes_minipekka_02_dl.sc","True","False","2019-02-22","Selecting emotes ATM","MiniPekka"
"Emote89",25,0,"True","False","sfx/emotes/emotes_bday_03_01_dl.ogg","sc/emotes_bday_03_dl.sc","True","False","2019-03-01","Party Pooper","Goblin"
"Emote90",25,1,"True","False","sfx/emotes/emotes_bday_03_02_dl.ogg","sc/emotes_bday_03_dl.sc","True","False","2019-03-01","Cake Devour (Amended from cake burp)","Giant"
"Emote91",25,2,"True","False","sfx/emotes/emotes_bday_03_03_dl.ogg","sc/emotes_bday_03_dl.sc","False","True","2019-03-01","Rascal Twins Cake (Amended from Hog Rider Cake)","Rascal"
"Emote92",26,0,"True","False","sfx/emotes/Strong_princess_emote_01_dl.ogg","sc/emotes_womens_month_01_dl.sc","True","False","2019-03-14","Princess / Rosie the Riveter","Princess"
"Emote93",26,1,"True","False","sfx/emotes/musketeer_emo_01_dl.ogg","sc/emotes_womens_month_01_dl.sc","True","False","2019-03-13","Musketeer/ Smoking Musket","Musketeer"
"Emote94",26,2,"True","False","sfx/emotes/ramRider_paint_emote_01_dl.ogg","sc/emotes_womens_month_01_dl.sc","True","False","2019-03-14","Ram Rider/ Game Face","RamRider"
"Emote95",27,0,"True","False","sfx/emotes/emotes_crl_02_01_dl.ogg","sc/emotes_crl_20win_01_dl.sc","False","True","2019-03-22","20 Win Challenge","Goblin"
"Emote96",28,0,"True","False","sfx/emotes/log_emote_kiss_01_dl.ogg","sc/emotes_april_fools_01_dl.sc","True","False","2019-04-01","Log in Love","Log"
"Emote97",28,1,"True","False","sfx/emotes/log_emote_cry_01_dl.ogg","sc/emotes_april_fools_01_dl.sc","True","False","2019-04-01","Sad Log","Log"
"Emote98",29,0,"True","False","sfx/emotes/pig_eat_01_dl.ogg","sc/emotes_spring_01_dl.sc","True","False","2019-04-19","bunny hog","Hog"
"Emote99",29,1,"True","False","sfx/emotes/pekka_butterfly_01_dl.ogg","sc/emotes_spring_01_dl.sc","True","False","2019-04-19","pekka/butterfly v2","Pekka"
"Emote100",29,2,"True","False","sfx/emotes/dragon_egg_dl.ogg","sc/emotes_spring_01_dl.sc","True","False","2019-04-19","dragon egg","Dragon"
"Emote101",29,3,"True","False","sfx/emotes/miner_pop_01_dl.ogg","sc/emotes_spring_01_dl.sc","True","False","2019-04-19","miner peekaboo","Miner"
"Emote102",30,0,"True","False","sfx/emotes/gobccage_emo_bars_01_dl.ogg","sc/emotes_goblin_brawler_01_dl.sc","True","False","2019-05-16","jailbreak","Goblin"
"Emote103",30,1,"True","False","sfx/emotes/gobccage_emo_arm_01_dl.ogg","sc/emotes_goblin_brawler_01_dl.sc","True","False","2019-05-16","tattoo bicep flex","Goblin"
"Emote104",31,0,"True","False","sfx/emotes/prince_emo_01_dl.ogg","sc/emotes_prince_01_dl.sc","True","False","2019-05-27","Surrender","Prince"
"Emote105",31,1,"True","False","sfx/emotes/prince_emo_02_dl.ogg","sc/emotes_prince_01_dl.sc","True","False","2019-05-27","Sipping Tea","Prince"
"Emote106",31,2,"True","False","sfx/emotes/prince_emo_03_dl.ogg","sc/emotes_prince_01_dl.sc","True","False","2019-05-27","Hey Good Looking","Prince"
"Emote107",31,3,"True","False","sfx/emotes/prince_emo_04_dl.ogg","sc/emotes_prince_01_dl.sc","True","False","2019-05-27","Surrender","Prince"
"Emote108",32,0,"True","False","sfx/emotes/sfx_1_lick_dl.ogg","sc/emotes_dragon_boat_01_dl.sc","True","False","2019-06-06","baby dragon lick","Dragon"
"Emote109",32,1,"True","False","sfx/emotes/sfx_2_smoke_dl.ogg","sc/emotes_dragon_boat_01_dl.sc","True","False","2019-06-06","baby dragon kissy face smoke","Dragon"
"Emote110",32,2,"True","False","sfx/emotes/sfx_3_sneeze_dl.ogg","sc/emotes_dragon_boat_01_dl.sc","True","False","2019-06-08","electro dragon sneeze","eDragon"
"Emote111",32,3,"True","False","sfx/emotes/sfx_4_shock_dl.ogg","sc/emotes_dragon_boat_01_dl.sc","True","False","2019-06-08","electro dragon shocking","eDragon"
"Emote112",33,0,"True","False","sfx/emotes/emotes_clashnights_01_01_dl.ogg","sc/emotes_clashnights_01_dl.sc","True","False","2019-06-21","Princess Trumpet","Princess"
"Emote113",33,1,"False","False",,"sc/emotes_clashnights_01_dl.sc","False","False","2100-01-01","Fist Bump","Generic"
"Emote114",34,0,"True","False","sfx/emotes/emotes_fishSlap_FightingFish_dl.ogg","sc/emotes_fish_slap_01_dl.sc","False","True","2019-07-01","boxing fish","Generic"
"Emote115",36,0,"True","False","sfx/emotes/emotes_theFisherman_01_fishFlail_dl.ogg","sc/emotes_fisherman_01_dl.sc","True","False","2019-07-04","fisherman mighty fish","Fisherman"
"Emote116",36,1,"True","False","sfx/emotes/emotes_theFisherman_02_surprise_dl.ogg","sc/emotes_fisherman_01_dl.sc","True","False","2019-07-04","fisherman dismal peek","Fisherman"
"Emote117",36,2,"True","False","sfx/emotes/emotes_theFisherman_03_downpour_dl.ogg","sc/emotes_fisherman_01_dl.sc","True","False","2019-07-19","fisherman soaked","Fisherman"
"Emote118",36,3,"True","False","sfx/emotes/emotes_theFisherman_04_hook_dl.ogg","sc/emotes_fisherman_01_dl.sc","True","False","2019-07-19","fisherman's anchor vs Goblin","Fisherman"
"Emote119",37,0,"True","False","sfx/emotes/emotes_shipwreck_01_01_dl.ogg","sc/emotes_shipwreck_kingPirate_dl.sc","False","True","2019-08-05","king pirate","King"
"Emote120",39,0,"True","False","sfx/emotes/emotes_shipwreck_02_01_dl.ogg","sc/emotes_shipwreck_02_dl.sc","True","False","2019-08-08","goblin barrel","Goblin"
"Emote121",40,0,"True","False","sfx/emotes/emotes_shipwreck_03_01_dl.ogg","sc/emotes_shipwreck_03_dl.sc","True","False","2019-08-16","hog pirate","Hog"
"Emote122",40,1,"True","False","sfx/emotes/emotes_shipwreck_03_02_dl.ogg","sc/emotes_shipwreck_03_dl.sc","True","False","2019-08-23","rascal discovers treasure","Rascal"
"Emote123",40,2,"True","False","sfx/emotes/emotes_shipwreck_03_03_dl.ogg","sc/emotes_shipwreck_03_dl.sc","True","False","2019-08-23","skeleton pirate flag","Skeleton"
"Emote124",41,0,"True","False","sfx/emotes/emotes_miner_01_01_dl.ogg","sc/emotes_miner_01_dl.sc","True","False","2019-09-06","dizzy","Miner"
"Emote125",41,1,"True","False","sfx/emotes/emotes_miner_01_02_dl.ogg","sc/emotes_miner_01_dl.sc","True","False","2019-09-06","lighting candle","Miner"
"Emote126",42,0,"True","False","sfx/emotes/emotes_princess_glasses_01_dl.ogg","sc/emotes_princess_glasses_01_dl.sc","False","True","2019-09-02","princess with shades","Princess"
"Emote127",44,0,"True","False","sfx/emotes/emotes_night_witch_01_01_dl.ogg","sc/emotes_night_witch_01_dl.sc","True","False","2019-09-20","night witch kiss","NightWitch"
"Emote128",45,0,"True","False","sfx/emotes/emotes_night_witch_clap_01_01_dl.ogg","sc/emotes_night_witch_clap_01_dl.sc","True","False","2019-09-20","slow-clap night witch","NightWitch"
"Emote129",46,0,"True","False","sfx/emotes/emochicken_01_dl.ogg","sc/emotes_scid_chicken_01_dl.sc","False","True","2019-09-30","chicken taunt","Chicken"
"Emote130",47,0,"True","False","sfx/emotes/bandit_coin_dl.ogg","sc/emotes_golden_week_01_dl.sc","True","False","2019-10-03","Bandit coin flip","Bandit"
"Emote131",49,0,"True","False","sfx/emotes/ElixirGolem_Emote_Morph_dl.ogg","sc/emotes_elixir_golem_01_dl.sc","True","False","2019-10-11","elixir golem_forms head","eGolem"
"Emote132",49,1,"True","False","sfx/emotes/ElixirGolem_Emote_Glow_dl.ogg","sc/emotes_elixir_golem_01_dl.sc","True","False","2019-10-12","elixir golem_rage","eGolem"
"Emote133",50,0,"True","False","sfx/emotes/emotes_halloween_01_01_dl.ogg","sc/emotes_halloween_01_dl.sc","False","True","2019-10-07","skeleton DDLM--with hat and guitar","Skeleton"
"Emote134",50,1,"True","False","sfx/emotes/emotes_halloween_01_02_dl.ogg","sc/emotes_halloween_01_dl.sc","True","False","2019-10-31","witch DDLM","Witch"
"Emote135",50,2,"True","False","sfx/emotes/emotes_halloween_01_03_dl.ogg","sc/emotes_halloween_01_dl.sc","True","False","2019-10-18","night with DDLM alebrije paint","NightWitch"
"Emote136",50,3,"True","False","sfx/emotes/emotes_halloween_01_04_dl.ogg","sc/emotes_halloween_01_dl.sc","True","False","2019-10-25","Goblin frankenstein","Goblin"
"Emote137",51,0,"True","False","sfx/emotes/emotes_Halloween_emote_prisongoblnwig_dl.ogg","sc/emotes_halloween_02_dl.sc","True","False","2019-10-25","Prison Goblin bride of frankenstein","Goblin"
"Emote138",52,0,"True","False","sfx/emotes/emotes_goblin_feast_01_emote1_dl.ogg","sc/emotes_goblin_feast_01_dl.sc","False","True","2019-11-04","confetti blowing dart goblin","DartGoblin"
"Emote139",52,1,"True","False","sfx/emotes/emotes_goblin_feast_01_emote2_dl.ogg","sc/emotes_goblin_feast_01_dl.sc","True","False","2019-11-08","goblin giant electric slide dance","GiantGoblin"
"Emote140",52,2,"True","False","sfx/emotes/emotes_goblin_feast_01_emote3_dl.ogg","sc/emotes_goblin_feast_01_dl.sc","True","False","2019-11-21","dart goblin dance","DartGoblin"
"Emote141",54,0,"True","False","sfx/emotes/emotes_xmass_hog_lights_dl.ogg","sc/emotes_xmass_hog_lights_dl.sc","False","True","2019-12-03","hog christmas lights","Hog"
"Emote142",55,0,"True","False","sfx/emotes/emotes_xmass_santa_giant_dl.ogg","sc/emotes_xmass_santa_giant_dl.sc","True","False","2019-12-24","giant santa eating cookie","Giant"
"Emote143",56,0,"True","False","sfx/emotes/emotes_xmass_barb_nutcracker_dl.ogg","sc/emotes_xmass_barb_nutcracker_dl.sc","True","False","2019-12-18","Nutcracker Barb","Barbarian"
"Emote144",60,0,"True","False","sfx/emotes/emotes_crl_king_headset_dl.ogg","sc/emotes_crl_king_headset_dl.sc","False","True","2019-12-09","king with headset","King"
"Emote145",62,0,"True","False","sfx/emotes/emotes_lny_01_dl.ogg","sc/emotes_lny_01_dl.sc","False","True","2020-01-06","firecracker","Firecracker"
"Emote146",63,0,"True","False","sfx/emotes/emotes_lny_02_sfx1_dl.ogg","sc/emotes_lny_02_dl.sc","False","True","2020-01-27","Balloon","Baloon"
"Emote147",63,1,"True","False","sfx/emotes/emotes_lny_02_sfx2_dl.ogg","sc/emotes_lny_02_dl.sc","True","False","2020-01-22","Miner w/ red envelope","Miner"
"Emote148",63,2,"True","False","sfx/emotes/emotes_lny_02_sfx3_dl.ogg","sc/emotes_lny_02_dl.sc","True","False","2020-01-24","Bomber with 2020 glasses","Bomber"
"Emote149",64,0,"True","False","sfx/emotes/emotes_king_02_sfx_01_trophy_king_dl.ogg","sc/emotes_king_02_dl.sc","False","True","2020-02-14","king polishing trophy","King"
"Emote150",65,0,"True","False","sfx/emotes/emotes_log_02_Angry_sfx1_dl.ogg","sc/emotes_log_02_dl.sc","True","False","2020-06-19","Angry Log","Log"
"Emote151",65,1,"True","False","sfx/emotes/emotes_log_02_Glorious_sfx2_dl.ogg","sc/emotes_log_02_dl.sc","True","False","2020-02-07","Glorious Log","Log"
"Emote152",66,0,"True","False","sfx/emotes/emotes_ramRiderFeb2020_01_sfx1_dl.ogg","sc/emotes_ramRiderFeb2020_01_dl.sc","True","False","2020-02-19","Ram Rider/ Game Face","RamRider"
"Emote153",69,0,"True","False","sfx/emotes/emotes_4th_bday_pekka_dl.ogg","sc/emotes_4th_bday_pekka_dl.sc","False","True","2020-03-02","PEKKA popping balloons","Pekka"
"Emote154",70,0,"True","False","sfx/emotes/emotes_4th_bday_sparky_dl.ogg","sc/emotes_4th_bday_sparky_dl.sc","False","False","2020-03-02","Birthday/Sparky","Generic"
"Emote155",71,0,"True","False","sfx/emotes/emotes_4th_bday_battleHealer_dl.ogg","sc/emotes_4th_bday_battleHealer_dl.sc","False","True","2020-03-02","Battle Healer cutting cake","BattleHealer"
"Emote156",72,0,"True","False","sfx/emotes/emotes_4th_bday_fish_dl.ogg","sc/emotes_4th_bday_fish_dl.sc","False","False","2020-03-21","Fish Cake","Generic"
"Emote157",73,0,"True","False","sfx/emotes/emotes_4th_bday_royalGiant_dl.ogg","sc/emotes_4th_bday_royalGiant_dl.sc","False","True","2020-03-02","Birthday/Royal Giant","RoyalGiant"
"Emote158",74,0,"True","False","sfx/emotes/emotes_heist_magicArcher_01_dl.ogg","sc/emotes_heist_magicArcher_dl.sc","False","True","2020-04-06","emotes_heist_magicArcher","MagicArcher"
"Emote159",75,0,"True","False","sfx/emotes/emotes_heist_hunter_01_dl.ogg","sc/emotes_heist_hunter_dl.sc","True","False","2020-04-06","Hunter / hat","Hunter"
"Emote160",77,0,"True","False","sfx/emotes/emotes_heist_bandit_01_dl.ogg","sc/emotes_heist_bandit_dl.sc","True","False","2020-04-14","emotes_heist_bandit","Bandit"
