"Name","TID","DescriptionTID","Type","IsEnabled","OwnedByDefault","AssetScFile","AssetExportName","UsedInBox"
"Chronos011","TID_BATTLEBANNER_NAME_TIDAL","TID_BATTLEBANNER_DESC_TIDAL","Background","TRUE","FALSE","sc/BB00017_bg_fisherman_dl.sc","banner_bg","Season 38_Box2"
"Chronos012","TID_BATTLEBANNER_NAME_HOOKED","TID_BATTLEBANNER_DESC_HOOKED","Foreground","TRUE","FALSE","sc/BB00017_fg_fisherman_dl.sc","banner_fg","Season 38_Box2"
"Chronos013","TID_BATTLEBANNER_NAME_ARENA_VIEW","TID_BATTLEBANNER_DESC_ARENA_VIEW","Background","TRUE","FALSE","sc/BB00007_bg_MightyMinerRoyalArena_dl.sc","banner_bg","Season 38_Box2"
"Chronos014","TID_BATTLEBANNER_NAME_THE_MIGHTIEST_MINER","TID_BATTLEBANNER_DESC_THE_MIGHTIEST_MINER","Foreground","TRUE","FALSE","sc/BB00007_fg_MightyMinerRoyalArena_dl.sc","banner_fg","Season 38_Box2"
"Chronos015","TID_BATTLEBANNER_NAME_PUSHING_FOR_PIXELS","TID_BATTLEBANNER_DESC_PUSHING_FOR_PIXELS","Background","TRUE","FALSE","sc/BB00106_bg_barbarian_pixel3D_dl.sc","banner_bg","Season 38_Box2"
"Chronos016","TID_BATTLEBANNER_NAME_PIXEL_POWER_UP","TID_BATTLEBANNER_DESC_PIXEL_POWER_UP","Foreground","TRUE","FALSE","sc/BB00106_fg_barbarian_pixel3D_dl.sc","banner_fg","Season 38_Box2"
"Chronos017","TID_BATTLEBANNER_NAME_BEACH_VIBING","TID_BATTLEBANNER_DESC_BEACH_VIBING","Background","TRUE","FALSE","sc/EliteBarbarianBeachSoccerBG_dl.sc","banner_bg",
"Chronos018","TID_BATTLEBANNER_NAME_ELITE_SPORTS","TID_BATTLEBANNER_DESC_ELITE_SPORTS","Foreground","TRUE","FALSE","sc/EliteBarbarianBeachSoccerFG_dl.sc","banner_fg",
"Chronos019","TID_BATTLEBANNER_NAME_BLOSSOM_BATTLE","TID_BATTLEBANNER_DESC_BLOSSOM_BATTLE","Background","TRUE","FALSE","sc/ArcherKitsuneMaskBG_dl.sc","banner_bg",
"Chronos020","TID_BATTLEBANNER_NAME_KITSUNE_ARCHER","TID_BATTLEBANNER_DESC_KITSUNE_ARCHER","Foreground","TRUE","FALSE","sc/ArcherKitsuneMaskFG_dl.sc","banner_fg",
"Chronos021","TID_BATTLEBANNER_NAME_HOG_CHARGE","TID_BATTLEBANNER_DESC_HOG_CHARGE","Background","TRUE","FALSE","sc/HogRiderThaiBoxingBG_dl.sc","banner_bg",
"Chronos022","TID_BATTLEBANNER_NAME_HOG_FIGHTER","TID_BATTLEBANNER_DESC_HOG_FIGHTER","Foreground","TRUE","FALSE","sc/HogRiderThaiBoxingFG_dl.sc","banner_fg",
"Chronos023","TID_BATTLEBANNER_NAME_BARREL_PRINT","TID_BATTLEBANNER_DESC_BARREL_PRINT","Background","TRUE","FALSE","sc/BarbarianBarrelBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos024","TID_BATTLEBANNER_NAME_BARBARIAN_BARREL","TID_BATTLEBANNER_DESC_BARBARIAN_BARREL","Foreground","TRUE","FALSE","sc/BarbarianBarrelFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos025","TID_BATTLEBANNER_NAME_FESTIVAL_PARTY","TID_BATTLEBANNER_DESC_FESTIVAL_PARTY","Background","TRUE","FALSE","sc/MightyMinerPartyBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos026","TID_BATTLEBANNER_NAME_MIGHTY_CHEERS","TID_BATTLEBANNER_DESC_MIGHTY_CHEERS","Foreground","TRUE","FALSE","sc/MightyMinerPartyFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos027","TID_BATTLEBANNER_NAME_BANGING_BACKGROUND","TID_BATTLEBANNER_DESC_BANGING_BACKGROUND","Background","TRUE","FALSE","sc/RoyalGiantBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos028","TID_BATTLEBANNER_NAME_ROYAL_GIANT","TID_BATTLEBANNER_DESC_ROYAL_GIANT","Foreground","TRUE","FALSE","sc/RoyalGiantFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos029","TID_BATTLEBANNER_NAME_FESTIVAL_FIREWORKS","TID_BATTLEBANNER_DESC_FESTIVAL_FIREWORKS","Background","TRUE","FALSE","sc/ClashFastHogRiderBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos030","TID_BATTLEBANNER_NAME_STRONG_RIDER","TID_BATTLEBANNER_DESC_STRONG_RIDER","Foreground","TRUE","FALSE","sc/ClashFastHogRiderFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos031","TID_BATTLEBANNER_NAME_FESTIVAL_LIGHTS","TID_BATTLEBANNER_DESC_FESTIVAL_LIGHTS","Background","TRUE","FALSE","sc/RamRiderPartyBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos032","TID_BATTLEBANNER_NAME_RAM_LIGHTER","TID_BATTLEBANNER_DESC_RAM_LIGHTER","Foreground","TRUE","FALSE","sc/RamRiderPartyFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos033","TID_BATTLEBANNER_NAME_LUSCIOUS_LAND","TID_BATTLEBANNER_DESC_LUSCIOUS_LAND","Background","TRUE","FALSE","sc/LogGrassBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos034","TID_BATTLEBANNER_NAME_LOG_MOWER","TID_BATTLEBANNER_DESC_LOG_MOWER","Foreground","TRUE","FALSE","sc/LogGrassFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos035","TID_BATTLEBANNER_NAME_STEAMY_STEW","TID_BATTLEBANNER_DESC_STEAMY_STEW","Background","TRUE","FALSE","sc/ExecutionerCookerBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos036","TID_BATTLEBANNER_NAME_EXECUTIONER","TID_BATTLEBANNER_DESC_EXECUTIONER","Foreground","TRUE","FALSE","sc/ExecutionerCookerFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos037","TID_BATTLEBANNER_NAME_GOLDEN_SKY","TID_BATTLEBANNER_DESC_GOLDEN_SKY","Background","TRUE","FALSE","sc/ValkiryeFightBG_dl.sc","banner_bg","Season 39_Box3"
"Chronos038","TID_BATTLEBANNER_NAME_VALKYRIE","TID_BATTLEBANNER_DESC_VALKYRIE","Foreground","TRUE","FALSE","sc/ValkiryeFightFG_dl.sc","banner_fg","Season 39_Box3"
"Chronos039","TID_BATTLEBANNER_NAME_PUMPKIN_BARRAGE","TID_BATTLEBANNER_DESC_PUMPKIN_BARRAGE","Foreground","TRUE","FALSE","sc/PumpkinDragonFG_dl.sc","banner_fg",
"Chronos040","TID_BATTLEBANNER_NAME_THIS_IS_CLASH-O-WEEN","TID_BATTLEBANNER_DESC_THIS_IS_CLASH-O-WEEN","Background","TRUE","FALSE","sc/PumpkinDragonBG_dl.sc","banner_bg",
"Chronos041","TID_BATTLEBANNER_NAME_HEADLESS_PONYMAN","TID_BATTLEBANNER_DESC_HEADLESS_PONYMAN","Foreground","TRUE","FALSE","sc/PrinceHeadlessFG_dl.sc","banner_fg",
"Chronos042","TID_BATTLEBANNER_NAME_FRIGHTENING_FOREST","TID_BATTLEBANNER_DESC_FRIGHTENING_FOREST","Background","TRUE","FALSE","sc/PrinceHeadlessBG_dl.sc","banner_bg",
"Chronos043","TID_BATTLEBANNER_NAME_P.U.M.P.K.I.N","TID_BATTLEBANNER_DESC_P.U.M.P.K.I.N","Foreground","TRUE","FALSE","sc/MiniPekkaHalloweenFG_dl.sc","banner_fg",
"Chronos044","TID_BATTLEBANNER_NAME_PUMPKIN_PATCH","TID_BATTLEBANNER_DESC_PUMPKIN_PATCH","Background","TRUE","FALSE","sc/MiniPekkaHalloweenBG_dl.sc","banner_bg",
"Chronos045","TID_BATTLEBANNER_NAME_BATS","TID_BATTLEBANNER_DESC_BATS","Foreground","TRUE","FALSE","sc/BatsAttackFG_dl.sc","banner_fg",
"Chronos046","TID_BATTLEBANNER_NAME_MASSIVE_MOON","TID_BATTLEBANNER_DESC_MASSIVE_MOON","Background","TRUE","FALSE","sc/BatsAttackBG_dl.sc","banner_bg",
"Chronos047","TID_BATTLEBANNER_NAME_FLAMING_FURNACE","TID_BATTLEBANNER_DESC_FLAMING_FURNACE","Foreground","TRUE","FALSE","sc/FurnaceFG_dl.sc","banner_fg",
"Chronos048","TID_BATTLEBANNER_NAME_FIRE_CAVERN","TID_BATTLEBANNER_DESC_FIRE_CAVERN","Background","TRUE","FALSE","sc/FurnaceBG_dl.sc","banner_bg",
"Chronos049","TID_BATTLEBANNER_NAME_MEGA_MINION","TID_BATTLEBANNER_DESC_MEGA_MINION","Foreground","TRUE","FALSE","sc/MegaMinionFG_dl.sc","banner_fg",
"Chronos050","TID_BATTLEBANNER_NAME_HOGNADO","TID_BATTLEBANNER_DESC_HOGNADO","Background","TRUE","FALSE","sc/MegaMinionBG_dl.sc","banner_bg",
"Chronos051","TID_BATTLEBANNER_NAME_ROYAL_GHOST","TID_BATTLEBANNER_DESC_ROYAL_GHOST","Foreground","TRUE","FALSE","sc/RoyalGhostT3FG_dl.sc","banner_fg",
"Chronos052","TID_BATTLEBANNER_NAME_YELLOW_PATTERN","TID_BATTLEBANNER_DESC_YELLOW_PATTERN","Background","TRUE","FALSE","sc/RoyalGhostT3BG_dl.sc","banner_bg",
"Chronos053","TID_BATTLEBANNER_NAME_GRAVEYARD","TID_BATTLEBANNER_DESC_GRAVEYARD","Foreground","TRUE","FALSE","sc/GraveyardSkullsT3FG_dl.sc","banner_fg",
"Chronos054","TID_BATTLEBANNER_NAME_BLUE_PATTERN","TID_BATTLEBANNER_DESC_BLUE_PATTERN","Background","TRUE","FALSE","sc/GraveyardSkullsT3BG_dl.sc","banner_bg",
"Chronos055","TID_BATTLEBANNER_NAME_GHOST_BAT","TID_BATTLEBANNER_DESC_GHOST_BAT","Foreground","TRUE","FALSE","sc/ChibiBatFG_dl.sc","banner_fg",
"Chronos056","TID_BATTLEBANNER_NAME_GHOULISH_GRAVEYARD","TID_BATTLEBANNER_DESC_GHOULISH_GRAVEYARD","Background","TRUE","FALSE","sc/ChibiBatBG_dl.sc","banner_bg",
"Chronos057","TID_BATTLEBANNER_NAME_BAT_GANG","TID_BATTLEBANNER_DESC_BAT_GANG","Foreground","TRUE","FALSE","sc/BatBFFT3FG_dl.sc","banner_fg",
"Chronos058","TID_BATTLEBANNER_NAME_BABY_BATS","TID_BATTLEBANNER_DESC_BABY_BATS","Foreground","TRUE","FALSE","sc/batsatnightFG_dl.sc","banner_fg",
"Chronos059","TID_BATTLEBANNER_NAME_WITCH_WARRIOR","TID_BATTLEBANNER_DESC_WITCH_WARRIOR","Foreground","TRUE","FALSE","sc/NightWitchDazeFG_dl.sc","banner_fg",
"Chronos060","TID_BATTLEBANNER_NAME_SPOOKY_TOWN","TID_BATTLEBANNER_DESC_SPOOKY_TOWN","Background","TRUE","FALSE","sc/NightWitchDazeBG_dl.sc","banner_bg",
"Chronos061","TID_BATTLEBANNER_NAME_SPOOKY_SUMMONER","TID_BATTLEBANNER_DESC_SPOOKY_SUMMONER","Foreground","TRUE","FALSE","sc/NightWitchSpellFG_dl.sc","banner_fg",
"Chronos062","TID_BATTLEBANNER_NAME_CANDY_WITCH","TID_BATTLEBANNER_DESC_CANDY_WITCH","Foreground","TRUE","FALSE","sc/WitchHalloweenFG_dl.sc","banner_fg",
"Chronos063","TID_BATTLEBANNER_NAME_COOLING_OFF","TID_BATTLEBANNER_DESC_COOLING_OFF","Foreground","TRUE","FALSE","sc/MonkSnowFG_dl.sc","banner_fg",
"Chronos064","TID_BATTLEBANNER_NAME_PEACEFUL_PLATEAU","TID_BATTLEBANNER_DESC_PEACEFUL_PLATEAU","Background","TRUE","FALSE","sc/MonkSnowBG_dl.sc","banner_bg",
"Chronos065","TID_BATTLEBANNER_NAME_BLOSSOM_BATH","TID_BATTLEBANNER_DESC_BLOSSOM_BATH","Foreground","TRUE","FALSE","sc/MonkZenFG_dl.sc","banner_fg",
"Chronos066","TID_BATTLEBANNER_NAME_WILD_WATERFALL","TID_BATTLEBANNER_DESC_WILD_WATERFALL","Background","TRUE","FALSE","sc/MonkZenBG_dl.sc","banner_bg",
"Chronos067","TID_BATTLEBANNER_NAME_MONKTAL_KOMBAT","TID_BATTLEBANNER_DESC_MONKTAL_KOMBAT","Foreground","TRUE","FALSE","sc/MonkKickFG_dl.sc","banner_fg",
"Chronos068","TID_BATTLEBANNER_NAME_SILENT_SANCTUARY","TID_BATTLEBANNER_DESC_SILENT_SANCTUARY","Background","TRUE","FALSE","sc/MonkKickBG_dl.sc","banner_bg",
"Chronos069","TID_BATTLEBANNER_NAME_RASCAL_BOY","TID_BATTLEBANNER_DESC_RASCAL_BOY","Foreground","TRUE","FALSE","sc/DragonSpaRascalsFG_dl.sc","banner_fg",
"Chronos070","TID_BATTLEBANNER_NAME_RISKY_RASCALS","TID_BATTLEBANNER_DESC_RISKY_RASCALS","Background","TRUE","FALSE","sc/DragonSpaRascalsBG_dl.sc","banner_bg",
"Chronos071","TID_BATTLEBANNER_NAME_FIRECRACKER","TID_BATTLEBANNER_DESC_FIRECRACKER","Foreground","TRUE","FALSE","sc/FirecrackerFG_dl.sc","banner_fg",
"Chronos072","TID_BATTLEBANNER_NAME_TARGET_RANGE","TID_BATTLEBANNER_DESC_TARGET_RANGE","Background","TRUE","FALSE","sc/FirecrackerBG_dl.sc","banner_bg",
"Chronos073","TID_BATTLEBANNER_NAME_BUTTERFLY_BUDDY","TID_BATTLEBANNER_DESC_BUTTERFLY_BUDDY","Foreground","TRUE","FALSE","sc/PekkaButterflysFG_dl.sc","banner_fg",
"Chronos074","TID_BATTLEBANNER_NAME_MAGMA_MONSTERS","TID_BATTLEBANNER_DESC_MAGMA_MONSTERS","Background","TRUE","FALSE","sc/PekkaButterflysBG_dl.sc","banner_bg",
"Chronos075","TID_BATTLEBANNER_NAME_RAM_RIDER","TID_BATTLEBANNER_DESC_RAM_RIDER","Foreground","TRUE","FALSE","sc/RamRiderT3FG_dl.sc","banner_fg",
"Chronos076","TID_BATTLEBANNER_NAME_RAM_PRINT","TID_BATTLEBANNER_DESC_RAM_PRINT","Background","TRUE","FALSE","sc/RamRiderT3BG_dl.sc","banner_bg",
"Chronos077","TID_BATTLEBANNER_NAME_MONK","TID_BATTLEBANNER_DESC_MONK","Foreground","TRUE","FALSE","sc/LotusMonkT3FG_dl.sc","banner_fg",
"Chronos078","TID_BATTLEBANNER_NAME_LOTUS_PRINT","TID_BATTLEBANNER_DESC_LOTUS_PRINT","Background","TRUE","FALSE","sc/LotusMonkT3BG_dl.sc","banner_bg",
"Chronos079","TID_BATTLEBANNER_NAME_SURPRISE!","TID_BATTLEBANNER_DESC_SURPRISE!","Foreground","TRUE","FALSE","sc/RebornPhoenixFG_dl.sc","banner_fg",
"Chronos080","TID_BATTLEBANNER_NAME_BAMBOO_SHOOTS","TID_BATTLEBANNER_DESC_BAMBOO_SHOOTS","Background","TRUE","FALSE","sc/RebornPhoenixBG_dl.sc","banner_bg",
"Chronos081","TID_BATTLEBANNER_NAME_FEATHERED_FRIEND","TID_BATTLEBANNER_DESC_FEATHERED_FRIEND","Foreground","TRUE","FALSE","sc/ChillingPhoenixFG_dl.sc","banner_fg",
"Chronos082","TID_BATTLEBANNER_NAME_WEATHERED_SANCTUARY","TID_BATTLEBANNER_DESC_WEATHERED_SANCTUARY","Background","TRUE","FALSE","sc/ChillingPhoenixBG_dl.sc","banner_bg",
"Chronos083","TID_BATTLEBANNER_NAME_SUPER_PAPER_PHOENIX","TID_BATTLEBANNER_DESC_SUPER_PAPER_PHOENIX","Foreground","TRUE","FALSE","sc/ChibiPhoenixFG_dl.sc","banner_fg",
"Chronos084","TID_BATTLEBANNER_NAME_WATERLOGGED","TID_BATTLEBANNER_DESC_WATERLOGGED","Background","TRUE","FALSE","sc/ChibiPhoenixBG_dl.sc","banner_bg",
"Chronos085","TID_BATTLEBANNER_NAME_CLASHMAS_PRINCE","TID_BATTLEBANNER_DESC_CLASHMAS_PRINCE","Foreground","TRUE","FALSE","sc/SantaPrinceFG_dl.sc","banner_fg",
"Chronos086","TID_BATTLEBANNER_NAME_STARRY_STARRY_NIGHT","TID_BATTLEBANNER_DESC_STARRY_STARRY_NIGHT","Background","TRUE","FALSE","sc/SantaPrinceBG_dl.sc","banner_bg",
"Chronos087","TID_BATTLEBANNER_NAME_SNOWGLOBE_SKELETON","TID_BATTLEBANNER_DESC_SNOWGLOBE_SKELETON","Foreground","TRUE","FALSE","sc/SnowBallFG_dl.sc","banner_fg",
"Chronos088","TID_BATTLEBANNER_NAME_CLASHMAS_SKIES","TID_BATTLEBANNER_DESC_CLASHMAS_SKIES","Background","TRUE","FALSE","sc/SnowBallBG_dl.sc","banner_bg",
"Chronos089","TID_BATTLEBANNER_NAME_NUTCRACKER_KING","TID_BATTLEBANNER_DESC_NUTCRACKER_KING","Foreground","TRUE","FALSE","sc/KingNutCrakerFG_dl.sc","banner_fg",
"Chronos090","TID_BATTLEBANNER_NAME_WINTER_VIBES","TID_BATTLEBANNER_DESC_WINTER_VIBES","Background","TRUE","FALSE","sc/KingNutCrakerBG_dl.sc","banner_bg",
"Chronos091","TID_BATTLEBANNER_NAME_SHE'S_ELECTRIC","TID_BATTLEBANNER_DESC_SHE'S_ELECTRIC","Foreground","TRUE","FALSE","sc/SparkyShotFG_dl.sc","banner_fg",
"Chronos092","TID_BATTLEBANNER_NAME_LIGHTNING_BOLTS","TID_BATTLEBANNER_DESC_LIGHTNING_BOLTS","Background","TRUE","FALSE","sc/SparkyShotBG_dl.sc","banner_bg",
"Chronos093","TID_BATTLEBANNER_NAME_MINIONS","TID_BATTLEBANNER_DESC_MINIONS","Foreground","TRUE","FALSE","sc/MinionsHordeFG_dl.sc","banner_fg",
"Chronos094","TID_BATTLEBANNER_NAME_SPOT_THE_DRAGON","TID_BATTLEBANNER_DESC_SPOT_THE_DRAGON","Background","TRUE","FALSE","sc/MinionsHordeBG_dl.sc","banner_bg",
"Chronos095","TID_BATTLEBANNER_NAME_GOBLIN_BARREL","TID_BATTLEBANNER_DESC_GOBLIN_BARREL","Foreground","TRUE","FALSE","sc/GoblinBarrelFG_dl.sc","banner_fg",
"Chronos096","TID_BATTLEBANNER_NAME_CLOUDS","TID_BATTLEBANNER_DESC_CLOUDS","Background","TRUE","FALSE","sc/GoblinBarrelBG_dl.sc","banner_bg",
"Chronos097","TID_BATTLEBANNER_NAME_ICE_SPIRIT","TID_BATTLEBANNER_DESC_ICE_SPIRIT","Foreground","TRUE","FALSE","sc/SnowflakesT3FG_dl.sc","banner_fg",
"Chronos098","TID_BATTLEBANNER_NAME_SNOWFLAKES","TID_BATTLEBANNER_DESC_SNOWFLAKES","Background","TRUE","FALSE","sc/SnowflakesT3BG_dl.sc","banner_bg",
"Chronos099","TID_BATTLEBANNER_NAME_HEAL_SPIRIT","TID_BATTLEBANNER_DESC_HEAL_SPIRIT","Foreground","TRUE","FALSE","sc/ReindeerGiftWrapT3FG_dl.sc","banner_fg",
"Chronos100","TID_BATTLEBANNER_NAME_CLASHMAS_PATTERN","TID_BATTLEBANNER_DESC_CLASHMAS_PATTERN","Background","TRUE","FALSE","sc/ReindeerGiftWrapT3BG_dl.sc","banner_bg",
"Chronos101","TID_BATTLEBANNER_NAME_HO_HO_HOG_RIDER","TID_BATTLEBANNER_DESC_HO_HO_HOG_RIDER","Foreground","TRUE","FALSE","sc/GiftAdventureFG_dl.sc","banner_fg",
"Chronos102","TID_BATTLEBANNER_NAME_CANDY_CYCLONE","TID_BATTLEBANNER_DESC_CANDY_CYCLONE","Background","TRUE","FALSE","sc/GiftAdventureBG_dl.sc","banner_bg",
"Chronos103","TID_BATTLEBANNER_NAME_SPECIAL_DELIVERY","TID_BATTLEBANNER_DESC_SPECIAL_DELIVERY","Foreground","TRUE","FALSE","sc/SnowRideHogFG_dl.sc","banner_fg",
"Chronos104","TID_BATTLEBANNER_NAME_CLASHMAS_VILLAGE","TID_BATTLEBANNER_DESC_CLASHMAS_VILLAGE","Background","TRUE","FALSE","sc/SnowRideHogBG_dl.sc","banner_bg",
"Chronos105","TID_BATTLEBANNER_NAME_SHARING_IS_CARING","TID_BATTLEBANNER_DESC_SHARING_IS_CARING","Foreground","TRUE","FALSE","sc/ChibiHogRiderSantaGiftFG_dl.sc","banner_fg",
